second,n_frames,max_conf,det@0.25,det@0.4,det@0.5,det@0.7
0,5,0.5906,1,1,1,0
1,5,0.5734,1,1,1,0
2,5,0.5802,1,1,1,0
3,5,0.5793,1,1,1,0
4,5,0.5493,1,1,1,0
5,5,0.5949,1,1,1,0
6,5,0.5639,1,1,1,0
7,5,0.5335,1,1,1,0
8,5,0.5363,1,1,1,0
9,5,0.548,1,1,1,0
10,5,0.5635,1,1,1,0
11,5,0.3126,1,0,0,0
12,5,0.3241,1,0,0,0
13,5,0.3295,1,0,0,0
14,5,0.3261,1,0,0,0
15,5,0.3225,1,0,0,0
16,5,0.5444,1,1,1,0
17,1,0.5373,1,1,1,0
