second,n_frames,max_conf,det@0.25,det@0.4,det@0.5,det@0.7
0,5,0.8304,1,1,1,1
1,5,0.8328,1,1,1,1
2,5,0.8314,1,1,1,1
3,5,0.8337,1,1,1,1
4,5,0.8357,1,1,1,1
5,5,0.8429,1,1,1,1
6,5,0.846,1,1,1,1
7,5,0.8372,1,1,1,1
8,5,0.8357,1,1,1,1
9,5,0.8368,1,1,1,1
10,5,0.8457,1,1,1,1
11,5,0.8606,1,1,1,1
12,5,0.8595,1,1,1,1
13,5,0.8576,1,1,1,1
14,5,0.8514,1,1,1,1
15,5,0.8435,1,1,1,1
16,5,0.843,1,1,1,1
17,1,0.8424,1,1,1,1
