delta_conf,delta_unconf,F1
0.0,0.0,0.215
0.0,0.05,0.085
0.0,0.1,0.052
0.0,0.15,0.052
0.05,0.0,0.215
0.05,0.05,0.085
0.05,0.1,0.052
0.05,0.15,0.052
0.1,0.0,0.215
0.1,0.05,0.085
0.1,0.1,0.052
0.1,0.15,0.052
0.15,0.0,0.215
0.15,0.05,0.085
0.15,0.1,0.052
0.15,0.15,0.052
