a,b,dF1,ci_lo,ci_hi,significant
audio-only τ=0.25,late+med5 τ=0.55,0.013,-0.005,0.04,НЕ значима
audio-only τ=0.25,late τ=0.5,0.017,0.004,0.042,значима
late+med5 τ=0.55,late τ=0.5,0.004,-0.023,0.033,НЕ значима
audio-only τ=0.5,late+med5 τ=0.55,-0.106,-0.176,-0.04,значима
audio-only τ=0.25,audio-only τ=0.5,0.119,0.06,0.187,значима
