delta_conf,delta_unconf,F1
0.0,0.0,0.946
0.0,0.05,0.906
0.0,0.1,0.857
0.0,0.15,0.835
0.05,0.0,0.946
0.05,0.05,0.906
0.05,0.1,0.857
0.05,0.15,0.835
0.1,0.0,0.946
0.1,0.05,0.906
0.1,0.1,0.857
0.1,0.15,0.835
0.15,0.0,0.946
0.15,0.05,0.906
0.15,0.1,0.857
0.15,0.15,0.835
