a,b,dF1,ci_lo,ci_hi,significant
audio-only τ=0.25,late+med5 τ=0.55,0.877,0.949,0.925,значима
audio-only τ=0.25,late τ=0.5,0.763,0.576,0.918,значима
late+med5 τ=0.55,late τ=0.5,-0.115,-0.063,-0.067,значима
audio-only τ=0.5,late+med5 τ=0.55,0.758,0.833,0.796,значима
audio-only τ=0.25,audio-only τ=0.5,0.119,0.06,0.187,значима
