second,n_frames,max_conf,det@0.25,det@0.4,det@0.5,det@0.7
0,5,0.8076,1,1,1,1
1,5,0.8064,1,1,1,1
2,5,0.8052,1,1,1,1
3,5,0.8048,1,1,1,1
4,5,0.8054,1,1,1,1
5,5,0.8182,1,1,1,1
6,5,0.8195,1,1,1,1
7,5,0.8071,1,1,1,1
8,5,0.8064,1,1,1,1
9,5,0.8057,1,1,1,1
10,5,0.8078,1,1,1,1
11,5,0.8181,1,1,1,1
12,5,0.8124,1,1,1,1
13,5,0.8126,1,1,1,1
14,5,0.8072,1,1,1,1
15,5,0.8039,1,1,1,1
16,5,0.8128,1,1,1,1
17,1,0.8122,1,1,1,1
