model,dut600_map50,hf600_map50,fp@0.25,fp@0.4,fp@0.5,med_maxconf_bg,note
old-uav-yolov8s,0.7202,0.8673,0.618,0.398,0.275,0.333,боевой майский (калибровка линейки)
shelf-doguilmak-v11x,0.2895,0.5274,0.685,0.448,0.347,0.362,"MIT, HF doguilmak/Drone-Detection-YOLOv11x"
shelf-doguilmak-v8x,0.2774,0.5275,0.568,0.378,0.247,0.310,HF doguilmak/Drone-Detection-YOLOv8x
shelf-skyguard-v11,0.6592,0.8725,0.338,0.230,0.168,0.113,"MIT, HF SkyGuardAI/drone-detection-yolov11"
shelf-ruju-v12,0.0004,0.0000,0.025,0.010,0.000,0.000,"AGPL-3.0(!), HF rujutashashikanjoshi/yolo12-..."
shelf-danivelikova-v26n,0.0059,0.0661,0.050,0.010,0.003,0.000,HF danivelikova/...-yolo26n
