delta_conf,delta_unconf,F1
0.0,0.0,0.954
0.0,0.05,0.88
0.0,0.1,0.815
0.0,0.15,0.8
0.05,0.0,0.954
0.05,0.05,0.88
0.05,0.1,0.815
0.05,0.15,0.8
0.1,0.0,0.954
0.1,0.05,0.88
0.1,0.1,0.815
0.1,0.15,0.8
0.15,0.0,0.954
0.15,0.05,0.88
0.15,0.1,0.815
0.15,0.15,0.8
