a,b,dF1,ci_lo,ci_hi,significant
audio-only τ=0.25,late+med5 τ=0.55,0.05,-0.019,0.124,НЕ значима
audio-only τ=0.25,late τ=0.5,0.024,-0.024,0.066,НЕ значима
late+med5 τ=0.55,late τ=0.5,-0.027,-0.068,0.01,НЕ значима
audio-only τ=0.5,late+med5 τ=0.55,-0.069,-0.147,0.007,НЕ значима
audio-only τ=0.25,audio-only τ=0.5,0.119,0.06,0.187,значима
